time	x	y	z
30	-1.02523331	0.58151592	2.664932096
30.0025	-0.315496448	0.6632962	1.81147843
30.005	0.477853637	0.393732902	0.870604028
30.0075	1.249461793	-0.188920672	-0.024471217
30.01	1.898551432	-0.843013127	-0.76035284
30.0125	2.311188051	-1.288932583	-1.338365482
30.015	2.364074632	-1.368880585	-1.878328078
30.0175	1.963373193	-1.09780038	-2.529079627
30.02	1.100745729	-0.598767404	-3.354821527
30.0225	-0.110853944	-0.001026716	-4.281383608
30.025	-1.450582302	0.610861338	-5.137051605
30.0275	-2.650630566	1.170411433	-5.750808421
30.03	-3.473590475	1.574243502	-6.032941678
30.0325	-3.768740058	1.672110786	-5.985333346
30.035	-3.489219785	1.331758891	-5.649364498
30.0375	-2.680002937	0.537631068	-5.047854008
30.04	-1.459792217	-0.55452886	-4.175969531
30.0425	-0.009326477	-1.6574465	-3.048836178
30.045	1.443336206	-2.468110855	-1.761717236
30.0475	2.660239849	-2.787579588	-0.504536597
30.05	3.459224966	-2.575200886	0.49400449
30.0525	3.78361732	-1.920399951	1.0635904
30.055	3.731538695	-0.972832552	1.16931865
30.0575	3.512147763	0.111080563	0.920712703
30.06	3.337567908	1.178362013	0.511493668
30.0625	3.303941556	2.066984068	0.131978186
30.065	3.33053788	2.612458055	-0.093559267
30.0675	3.197303686	2.693040649	-0.117533369
30.07	2.664291139	2.290520645	0.060915875
30.0725	1.607524646	1.520291885	0.432333607
30.075	0.097004699	0.601106673	0.990476915
30.0775	-1.621602714	-0.222508451	1.716703577
30.08	-3.223838958	-0.760658513	2.551059727
30.0825	-4.423898425	-0.921975854	3.37379965
30.085	-5.053588505	-0.71540336	4.014825774
30.0875	-5.077302319	-0.233591972	4.295620516
30.09	-4.558850889	0.359933204	4.094515507
30.0925	-3.61753203	0.845739433	3.413404358
30.095	-2.402213447	0.992976078	2.4141841
30.0975	-1.085702586	0.646813426	1.394305857
30.1	0.140148956	-0.172985179	0.691880321
30.1025	1.088985778	-1.231301274	0.549061858
30.105	1.625599021	-2.150285206	0.998047943
30.1075	1.712076235	-2.582712434	1.838499951
30.11	1.425758598	-2.395162036	2.733212689
30.1125	0.932392489	-1.743881716	3.378029396
30.115	0.42248581	-0.983442826	3.648537845
30.1175	0.040238319	-0.457312485	3.632397817
30.12	-0.160860583	-0.302782061	3.52716394
30.1225	-0.215758675	-0.396546039	3.474956667
30.125	-0.203492575	-0.47143196	3.451751596
30.1275	-0.187005021	-0.31594464	3.291737289
30.13	-0.171011177	0.085821804	2.827593067
30.1325	-0.101198147	0.566127411	2.038084448
30.135	0.095246265	0.913611162	1.084661934
30.1375	0.451682887	1.024752903	0.200871405
30.14	0.921716538	0.95060415	-0.485964295
30.1425	1.382879787	0.813214466	-1.061077143
30.145	1.685294935	0.673732577	-1.763358553
30.1475	1.718590562	0.471772277	-2.791409663
30.15	1.457995081	0.093224024	-4.113340495
30.1525	0.962959574	-0.487718659	-5.427778393
30.155	0.332429743	-1.116337303	-6.319167539
30.1575	-0.349956857	-1.507442019	-6.507844387
30.16	-1.040930387	-1.418734642	-6.021361745
30.1625	-1.715939746	-0.824814902	-5.165684123
30.165	-2.321017768	0.042467986	-4.317938487
30.1675	-2.742684819	0.827677837	-3.69035626
30.17	-2.83133567	1.269657704	-3.232237366
30.1725	-2.474563295	1.347721317	-2.731477416
30.175	-1.675152896	1.251830541	-2.028718179
30.1775	-0.576043675	1.204216906	-1.177144972
30.18	0.595097168	1.272159203	-0.427951607
30.1825	1.634065826	1.317737971	-0.05629507
30.185	2.45293742	1.124452996	-0.16146324
30.1875	3.09482244	0.603134522	-0.588782091
30.19	3.659029938	-0.084893423	-1.024064829
30.1925	4.187362886	-0.590767523	-1.183040244
30.195	4.591681249	-0.591978776	-0.956329024
30.1975	4.676622147	-0.00819683	-0.418642514
30.2	4.246320631	0.93411663	0.275842007
30.2025	3.226218489	1.833383982	1.006311158
30.205	1.721557148	2.346699983	1.711502721
30.2075	-0.021204557	2.364282412	2.324739105
30.21	-1.717909927	2.014508801	2.703247207
30.2125	-3.143951821	1.516989901	2.648334991
30.215	-4.168822045	1.007849701	2.032622185
30.2175	-4.726301021	0.469272608	0.945121978
30.22	-4.76918277	-0.196245174	-0.274508977
30.2225	-4.264564256	-1.023134589	-1.174849283
30.225	-3.244179273	-1.898515517	-1.438655956
30.2275	-1.867811402	-2.611636709	-1.076922806
30.23	-0.433094746	-3.000140886	-0.430683553
30.2325	0.704958759	-3.073483122	0.036172496
30.235	1.276346317	-3.006216469	0.027317987
30.2375	1.21939497	-2.993732134	-0.398083294
30.24	0.705136479	-3.074672507	-0.860055629
30.2425	0.04102266	-3.061057598	-0.889851361
30.245	-0.491200641	-2.64687872	-0.209894626
30.2475	-0.766491014	-1.635811707	1.108881951
30.25	-0.840636009	-0.132622138	2.694573302
30.2525	-0.862077852	1.446591527	4.077896483
30.255	-0.937544242	2.575132704	4.917621526
30.2575	-1.042884821	2.91365246	5.12184025
30.26	-1.035371231	2.517019286	4.820625178
30.2625	-0.754560433	1.810733126	4.237600308
30.265	-0.142278663	1.340526189	3.552592009
